Timestamp,Time,Source,Destination,Packet_length,Payload_length,Sequence_number,Mac,Src_device,Dst_device,Burst,Gap
1611821294,2021-01-28 03:08:14,0x0000d717,0x00008a9d,64,27,155,00:17:88:01:08:81:33:d3,ZR,ZR,1,14
1611821294,2021-01-28 03:08:14,0x00008a9d,0x0000d717,126,89,67,00:17:88:01:05:17:1e:2a,ZR,ZR,1,14
1611821294,2021-01-28 03:08:14,0x0000d717,0x00008a9d,64,27,157,00:17:88:01:08:81:33:d3,ZR,ZR,1,14
1611821294,2021-01-28 03:08:14,0x00008a9d,0x0000d717,126,89,68,00:17:88:01:05:17:1e:2a,ZR,ZR,1,14
1611821294,2021-01-28 03:08:14,0x0000d717,0x00008a9d,64,27,159,00:17:88:01:08:81:33:d3,ZR,ZR,1,14
1611821294,2021-01-28 03:08:14,0x00008a9d,0x0000d717,126,89,69,00:17:88:01:05:17:1e:2a,ZR,ZR,1,14
1611821294,2021-01-28 03:08:14,0x00008a9d,0x0000d717,50,13,70,00:17:88:01:05:17:1e:2a,ZR,ZR,1,14
1611821294,2021-01-28 03:08:14,0x0000d717,0x00008a9d,53,16,161,00:17:88:01:08:81:33:d3,ZR,ZR,1,14
1611821294,2021-01-28 03:08:14,0x00008a9d,0x0000d717,50,13,71,00:17:88:01:05:17:1e:2a,ZR,ZR,1,14
1611821294,2021-01-28 03:08:14,0x0000d717,0x00008a9d,53,16,163,00:17:88:01:08:81:33:d3,ZR,ZR,1,14
